election_id,region_id,slot,model_name,variable_name,variable_value,weight,contribution
pres_2022,sgg_001,B,issue_heavy,risk_or_negative,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_001,B,issue_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_001,B,issue_heavy,turnout_structure,0.0,0.1,0.0
pres_2022,sgg_001,C,issue_heavy,candidate_strength,-0.15,0.1,-0.015
pres_2022,sgg_001,C,issue_heavy,local_issue_fit,-0.1,0.25,-0.025
pres_2022,sgg_001,C,issue_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_001,C,issue_heavy,regional_base,-0.35,0.2,-0.06999999999999999
pres_2022,sgg_001,C,issue_heavy,risk_or_negative,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_001,C,issue_heavy,third_candidate_structure,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_001,C,issue_heavy,turnout_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_001,alpha,issue_heavy,candidate_strength,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_001,alpha,issue_heavy,local_issue_fit,-0.2,0.25,-0.05
pres_2022,sgg_001,alpha,issue_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_001,alpha,issue_heavy,regional_base,-0.6,0.2,-0.12
pres_2022,sgg_001,alpha,issue_heavy,risk_or_negative,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_001,alpha,issue_heavy,third_candidate_structure,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_001,alpha,issue_heavy,turnout_structure,-0.15,0.1,-0.015
pres_2022,sgg_002,A,issue_heavy,candidate_strength,0.25,0.1,0.025
pres_2022,sgg_002,A,issue_heavy,local_issue_fit,-0.05,0.25,-0.0125
pres_2022,sgg_002,A,issue_heavy,national_mood,0.15,0.15,0.0225
pres_2022,sgg_002,A,issue_heavy,regional_base,-0.2,0.2,-0.04000000000000001
pres_2022,sgg_002,A,issue_heavy,risk_or_negative,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,A,issue_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_002,A,issue_heavy,turnout_structure,0.0,0.1,0.0
pres_2022,sgg_002,B,issue_heavy,candidate_strength,0.2,0.1,0.020000000000000004
pres_2022,sgg_002,B,issue_heavy,local_issue_fit,0.25,0.25,0.0625
pres_2022,sgg_002,B,issue_heavy,national_mood,-0.05,0.15,-0.0075
pres_2022,sgg_002,B,issue_heavy,regional_base,0.5,0.2,0.1
pres_2022,sgg_002,B,issue_heavy,risk_or_negative,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_002,B,issue_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_002,B,issue_heavy,turnout_structure,0.2,0.1,0.020000000000000004
pres_2022,sgg_002,C,issue_heavy,candidate_strength,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,C,issue_heavy,local_issue_fit,-0.05,0.25,-0.0125
pres_2022,sgg_002,C,issue_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_002,C,issue_heavy,regional_base,-0.3,0.2,-0.06
pres_2022,sgg_002,C,issue_heavy,risk_or_negative,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,C,issue_heavy,third_candidate_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,C,issue_heavy,turnout_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,alpha,issue_heavy,candidate_strength,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_002,alpha,issue_heavy,local_issue_fit,-0.2,0.25,-0.05
pres_2022,sgg_002,alpha,issue_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_002,alpha,issue_heavy,regional_base,-0.6,0.2,-0.12
pres_2022,sgg_002,alpha,issue_heavy,risk_or_negative,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,alpha,issue_heavy,third_candidate_structure,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_002,alpha,issue_heavy,turnout_structure,-0.15,0.1,-0.015
pres_2022,sgg_001,A,regional_heavy,candidate_strength,0.25,0.1,0.025
pres_2022,sgg_001,A,regional_heavy,local_issue_fit,0.3,0.1,0.03
pres_2022,sgg_001,A,regional_heavy,national_mood,0.15,0.15,0.0225
pres_2022,sgg_001,A,regional_heavy,regional_base,0.45,0.45,0.2025
pres_2022,sgg_001,A,regional_heavy,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_001,A,regional_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_001,A,regional_heavy,turnout_structure,0.2,0.05,0.010000000000000002
pres_2022,sgg_001,B,regional_heavy,candidate_strength,0.1,0.1,0.010000000000000002
pres_2022,sgg_001,B,regional_heavy,local_issue_fit,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_001,B,regional_heavy,national_mood,-0.05,0.15,-0.0075
pres_2022,sgg_001,B,regional_heavy,regional_base,-0.1,0.45,-0.045000000000000005
pres_2022,sgg_001,B,regional_heavy,risk_or_negative,-0.05,0.05,-0.0025000000000000005
pres_2022,sgg_001,B,regional_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_001,B,regional_heavy,turnout_structure,0.0,0.05,0.0
pres_2022,sgg_001,C,regional_heavy,candidate_strength,-0.15,0.1,-0.015
pres_2022,sgg_001,C,regional_heavy,local_issue_fit,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_001,C,regional_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_001,C,regional_heavy,regional_base,-0.35,0.45,-0.1575
pres_2022,sgg_001,C,regional_heavy,risk_or_negative,-0.2,0.05,-0.010000000000000002
pres_2022,sgg_001,C,regional_heavy,third_candidate_structure,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_001,C,regional_heavy,turnout_structure,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_001,alpha,regional_heavy,candidate_strength,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_001,alpha,regional_heavy,local_issue_fit,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_001,alpha,regional_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_001,alpha,regional_heavy,regional_base,-0.6,0.45,-0.27
pres_2022,sgg_001,alpha,regional_heavy,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_001,alpha,regional_heavy,third_candidate_structure,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_001,alpha,regional_heavy,turnout_structure,-0.15,0.05,-0.0075
pres_2022,sgg_002,A,regional_heavy,candidate_strength,0.25,0.1,0.025
pres_2022,sgg_002,A,regional_heavy,local_issue_fit,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_002,A,regional_heavy,national_mood,0.15,0.15,0.0225
pres_2022,sgg_002,A,regional_heavy,regional_base,-0.2,0.45,-0.09000000000000001
pres_2022,sgg_002,A,regional_heavy,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,A,regional_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_002,A,regional_heavy,turnout_structure,0.0,0.05,0.0
pres_2022,sgg_002,B,regional_heavy,candidate_strength,0.2,0.1,0.020000000000000004
pres_2022,sgg_002,B,regional_heavy,local_issue_fit,0.25,0.1,0.025
pres_2022,sgg_002,B,regional_heavy,national_mood,-0.05,0.15,-0.0075
pres_2022,sgg_002,B,regional_heavy,regional_base,0.5,0.45,0.225
pres_2022,sgg_002,B,regional_heavy,risk_or_negative,-0.05,0.05,-0.0025000000000000005
pres_2022,sgg_002,B,regional_heavy,third_candidate_structure,0.0,0.1,0.0
pres_2022,sgg_002,B,regional_heavy,turnout_structure,0.2,0.05,0.010000000000000002
pres_2022,sgg_002,C,regional_heavy,candidate_strength,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,C,regional_heavy,local_issue_fit,-0.05,0.1,-0.005000000000000001
pres_2022,sgg_002,C,regional_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_002,C,regional_heavy,regional_base,-0.3,0.45,-0.135
pres_2022,sgg_002,C,regional_heavy,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,C,regional_heavy,third_candidate_structure,-0.1,0.1,-0.010000000000000002
pres_2022,sgg_002,C,regional_heavy,turnout_structure,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,alpha,regional_heavy,candidate_strength,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_002,alpha,regional_heavy,local_issue_fit,-0.2,0.1,-0.020000000000000004
pres_2022,sgg_002,alpha,regional_heavy,national_mood,0.0,0.15,0.0
pres_2022,sgg_002,alpha,regional_heavy,regional_base,-0.6,0.45,-0.27
pres_2022,sgg_002,alpha,regional_heavy,risk_or_negative,-0.1,0.05,-0.005000000000000001
pres_2022,sgg_002,alpha,regional_heavy,third_candidate_structure,-0.4,0.1,-0.04000000000000001
pres_2022,sgg_002,alpha,regional_heavy,turnout_structure,-0.15,0.05,-0.0075
