election_id,issue_name,salience_available_date,slot,issue_evidence_count,issue_speaker_count,issue_committee_count,issue_available_date,issue_confidence_quality,link_evidence_count,directional_weighted_mentions,target_signed_evidence,target_absolute_evidence,target_source_types,link_available_date,target_directional_balance,link_consistency,target_attribution_confidence,link_reliability,available_date
pres_2025,endorsement_event,2025-05-08,B,60.0,28.0,7.0,2025-05-08,0.0,6.0,2.0999999999999996,0.84,1.2949999999999997,party,2025-02-20,0.6486486486486488,0.6486486486486488,0.39795013255078054,0.39795013255078054,2025-05-08
pres_2025,endorsement_event,2025-05-08,C,60.0,28.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-11-01,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,external_shock,2025-05-08,A,120.0,43.0,7.0,2025-05-08,0.0,1.0,0.35,0.21,0.21,party,2024-12-27,1.0,1.0,0.4378107522263601,0.4378107522263601,2025-05-08
pres_2025,external_shock,2025-05-08,B,120.0,43.0,7.0,2025-05-08,0.0,2.0,3.63,-2.3595,2.3595,party|person,2025-01-17,-1.0,1.0,0.5045931035275556,0.5045931035275556,2025-05-08
pres_2025,external_shock,2025-05-08,C,120.0,43.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-12-13,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,family_legal_risk,2025-05-08,A,266.0,55.0,7.0,2025-05-08,0.0,3.0,2.6,-0.7150000000000001,1.69,party|person,2025-03-18,-0.42307692307692313,0.42307692307692313,0.28233996315711357,0.28233996315711357,2025-05-08
pres_2025,family_legal_risk,2025-05-08,B,266.0,55.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-01-09,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,family_legal_risk,2025-05-08,C,266.0,55.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-09-30,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,foreign_policy,2025-05-08,A,482.0,41.0,6.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-03-11,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,foreign_policy,2025-05-08,B,482.0,41.0,6.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-12,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,foreign_policy,2025-05-08,C,482.0,41.0,6.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-12-27,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,gaffe_event,2025-02-19,A,0.0,0.0,0.0,,0.0,1.0,0.75,0.4875,0.4875,person,2024-12-06,1.0,1.0,0.4742949815785568,0.4742949815785568,2025-02-19
pres_2025,gaffe_event,2025-02-19,B,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2025-01-23,0.0,0.0,0.0,0.0,2025-02-19
pres_2025,gaffe_event,2025-02-19,C,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,2025-02-19
pres_2025,gender_generation,2025-04-24,A,72.0,23.0,6.0,2025-04-24,0.0,0.0,0.0,0.0,0.0,,2025-02-14,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,gender_generation,2025-04-24,B,72.0,23.0,6.0,2025-04-24,0.0,0.0,0.0,0.0,0.0,,2025-02-20,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,gender_generation,2025-04-24,C,72.0,23.0,6.0,2025-04-24,0.0,0.0,0.0,0.0,0.0,,2024-11-01,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,housing,2025-04-24,A,121.0,15.0,1.0,2025-04-24,0.0,0.0,0.0,0.0,0.0,,2025-02-13,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,housing,2025-04-24,B,121.0,15.0,1.0,2025-04-24,0.0,0.0,0.0,0.0,0.0,,2024-10-18,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,housing,2025-04-24,C,121.0,15.0,1.0,2025-04-24,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,inflation_livelihood,2025-05-08,A,36.0,24.0,6.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-18,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,inflation_livelihood,2025-05-08,B,36.0,24.0,6.0,2025-05-08,0.0,1.0,0.385,-0.25025,0.25025,party,2025-01-09,-1.0,1.0,0.47429498157855676,0.47429498157855676,2025-05-08
pres_2025,inflation_livelihood,2025-05-08,C,36.0,24.0,6.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-11-07,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,jobs_labor,2025-05-08,A,38.0,18.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-14,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,jobs_labor,2025-05-08,B,38.0,18.0,7.0,2025-05-08,0.0,4.0,1.4,0.4374999999999999,0.8924999999999996,party|person,2025-02-20,0.49019607843137264,0.49019607843137264,0.3210764493840893,0.3210764493840893,2025-05-08
pres_2025,jobs_labor,2025-05-08,C,38.0,18.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-10-14,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,regime_change,2025-03-11,A,1.0,1.0,1.0,2025-03-11,0.0,3.0,1.12625,-0.01543750000000002,0.7320624999999998,person,2025-01-23,-0.021087680355160964,0.021087680355160964,0.11249950810716908,0.11249950810716908,2025-03-11
pres_2025,regime_change,2025-03-11,B,1.0,1.0,1.0,2025-03-11,0.0,5.0,3.796625,-1.6592125000000002,2.4354625,party|person,2025-02-12,-0.6812720376519862,0.6812720376519862,0.4161982699098624,0.4161982699098624,2025-03-11
pres_2025,regime_change,2025-03-11,C,1.0,1.0,1.0,2025-03-11,0.0,0.0,0.0,0.0,0.0,,2024-12-13,0.0,0.0,0.0,0.0,2025-03-11
pres_2025,regional_dev,2025-05-08,A,236.0,79.0,8.0,2025-05-08,0.0,1.0,0.35,-0.2274999999999999,0.2274999999999999,person,2025-03-18,-1.0,1.0,0.47429498157855665,0.47429498157855665,2025-05-08
pres_2025,regional_dev,2025-05-08,B,236.0,79.0,8.0,2025-05-08,0.0,1.0,0.35,0.21,0.21,party,2025-02-20,1.0,1.0,0.4378107522263601,0.4378107522263601,2025-05-08
pres_2025,regional_dev,2025-05-08,C,236.0,79.0,8.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2025-02-26,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,security_nk,2025-05-08,A,181.0,38.0,7.0,2025-05-08,0.0,1.0,0.35,0.21,0.21,party,2025-03-18,1.0,1.0,0.4378107522263601,0.4378107522263601,2025-05-08
pres_2025,security_nk,2025-05-08,B,181.0,38.0,7.0,2025-05-08,0.0,1.0,1.0,-0.65,0.65,party,2025-02-12,-1.0,1.0,0.4742949815785568,0.4742949815785568,2025-05-08
pres_2025,security_nk,2025-05-08,C,181.0,38.0,7.0,2025-05-08,0.0,0.0,0.0,0.0,0.0,,2024-10-07,0.0,0.0,0.0,0.0,2025-05-08
pres_2025,unification_event,2025-04-03,A,13.0,8.0,4.0,2025-04-03,0.0,0.0,0.0,0.0,0.0,,2025-02-10,0.0,0.0,0.0,0.0,2025-04-03
pres_2025,unification_event,2025-04-03,B,13.0,8.0,4.0,2025-04-03,0.0,0.0,0.0,0.0,0.0,,2024-12-24,0.0,0.0,0.0,0.0,2025-04-03
pres_2025,unification_event,2025-04-03,C,13.0,8.0,4.0,2025-04-03,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,2025-04-03
pres_2025,welfare_pension,2025-04-24,A,270.0,50.0,8.0,2025-04-24,0.0,1.0,1.125,0.6749999999999999,0.6749999999999999,party,2025-03-20,1.0,1.0,0.4378107522263601,0.4378107522263601,2025-04-24
pres_2025,welfare_pension,2025-04-24,B,270.0,50.0,8.0,2025-04-24,0.0,1.0,0.35,0.21,0.21,party,2025-03-18,1.0,1.0,0.4378107522263601,0.4378107522263601,2025-04-24
pres_2025,welfare_pension,2025-04-24,C,270.0,50.0,8.0,2025-04-24,0.0,0.0,0.0,0.0,0.0,,2024-11-07,0.0,0.0,0.0,0.0,2025-04-24
pres_2025,withdrawal_event,2025-05-01,A,1.0,1.0,1.0,2025-05-01,0.0,4.0,1.4,-0.9099999999999997,0.9099999999999997,party|person,2024-10-21,-1.0,1.0,0.5427642229014243,0.5427642229014243,2025-05-01
pres_2025,withdrawal_event,2025-05-01,B,1.0,1.0,1.0,2025-05-01,0.0,6.0,5.375,-3.4937500000000004,3.4937500000000004,party|person,2024-12-11,-1.0,1.0,0.5679068964724444,0.5679068964724444,2025-05-01
pres_2025,withdrawal_event,2025-05-01,C,1.0,1.0,1.0,2025-05-01,0.0,0.0,0.0,0.0,0.0,,2024-10-07,0.0,0.0,0.0,0.0,2025-05-01
