daesu,name,party,bloc
16,신기남,새천년민주당,더불어민주당
16,신영국,한나라당,국민의힘
16,신영균,한나라당,국민의힘
16,신현태,한나라당,국민의힘
16,심규섭,새천년민주당,더불어민주당
16,심규철,한나라당,국민의힘
16,심재권,새천년민주당,더불어민주당
16,심재철,한나라당,국민의힘
16,안경률,한나라당,국민의힘
16,안대륜,자유민주연합,자유민주연합
16,안동선,새천년민주당,더불어민주당
16,안상수,한나라당,국민의힘
16,안상현,새천년민주당,더불어민주당
16,안영근,한나라당,국민의힘
16,안택수,한나라당,국민의힘
16,안희옥,새천년민주당,더불어민주당
16,양승부,새천년민주당,더불어민주당
16,양정규,한나라당,국민의힘
16,엄호성,한나라당,국민의힘
16,오경훈,한나라당,국민의힘
16,오세훈,한나라당,국민의힘
16,오영식,새천년민주당,더불어민주당
16,오장섭,자유민주연합,자유민주연합
16,원유철,새천년민주당,더불어민주당
16,원철희,자유민주연합,자유민주연합
16,원희룡,한나라당,국민의힘
16,유삼남,새천년민주당,더불어민주당
16,유용태,새천년민주당,더불어민주당
16,유재건,민주당,민주당
16,유재규,새천년민주당,더불어민주당
16,유한열,한나라당,국민의힘
16,유흥수,한나라당,국민의힘
16,윤경식,한나라당,국민의힘
16,윤두환,한나라당,국민의힘
16,윤여준,한나라당,국민의힘
16,윤영탁,한나라당,국민의힘
16,윤철상,새천년민주당,더불어민주당
16,윤한도,한나라당,국민의힘
16,이강두,한나라당,국민의힘
16,이강래,무소속·새천년민주당,무소속·새천년민주당
16,이경재,한나라당,국민의힘
16,이규택,한나라당,국민의힘
16,이근진,한나라당,국민의힘
16,이낙연,새천년민주당,더불어민주당
16,이만섭,새천년민주당,더불어민주당
16,이만재,한나라당,국민의힘
16,이미경,새천년민주당,더불어민주당
16,이방호,한나라당,국민의힘
16,이병석,한나라당,국민의힘
16,이부영,한나라당,국민의힘
16,이상득,한나라당,국민의힘
16,이상배,한나라당,국민의힘
16,이상수,새천년민주당,더불어민주당
16,이상희,한나라당,국민의힘
16,이성헌,한나라당,국민의힘
16,이승철,한나라당,국민의힘
16,이양희,한나라당,국민의힘
16,이연숙,한나라당,국민의힘
16,이완구,자유민주연합,자유민주연합
16,이용삼,새천년민주당,더불어민주당
16,이우재,한나라당,국민의힘
16,이원성,새천년민주당,더불어민주당
16,이원창,한나라당,국민의힘
16,이원형,한나라당,국민의힘
16,이윤성,한나라당,국민의힘
16,이윤수,새천년민주당,더불어민주당
16,이인기,한나라당,국민의힘
16,이인제,새천년민주당·자유민주연합,새천년민주당·자유민주연합
16,이재선,자유민주연합,자유민주연합
16,이재오,한나라당,국민의힘
16,이재정,새천년민주당,더불어민주당
16,이재창,한나라당,국민의힘
16,이정일,새천년민주당,더불어민주당
16,이종걸,새천년민주당·열린우리당,새천년민주당·열린우리당
16,이종성,새천년민주당,더불어민주당
16,이주영,한나라당,국민의힘
16,이창복,새천년민주당,더불어민주당
16,이한구,한나라당,국민의힘
16,이한동,자유민주연합,자유민주연합
16,이해구,한나라당,국민의힘
16,이해봉,한나라당,국민의힘
16,이해찬,열린우리당,더불어민주당
16,이협,새천년민주당,더불어민주당
16,이호웅,열린우리당,더불어민주당
16,이회창,한나라당,국민의힘
16,이훈평,새천년 민주당,더불어민주당
16,이희규,(경기 이천),(경기이천)
16,임인배,한나라당,국민의힘
16,임종석,열린우리당,더불어민주당
16,임진출,한나라당,국민의힘
16,임채정,열린우리당,더불어민주당
16,임태희,한나라당,국민의힘
16,장광근,한나라당,국민의힘
16,장성원,새천년민주당,더불어민주당
16,장영달,열린우리당,더불어민주당
16,장재식,새천년민주당,더불어민주당
16,장태완,새천년민주당,더불어민주당
16,전갑길,새천년민주당,더불어민주당
16,전용원,한나라당,국민의힘
16,전용학,한나라당,국민의힘
16,전재희,한나라당,국민의힘
16,정갑윤,한나라당,국민의힘
16,정균환,새천년민주당,더불어민주당
16,정대철,새천년민주당,더불어민주당
16,정동영,새천년민주당,더불어민주당
16,정동채,열린우리당,더불어민주당
16,정몽준,무소속·국민통합21,무소속·국민통합21
16,정문화,한나라당,국민의힘
16,정범구,새천년민주당,더불어민주당
16,정병국,한나라당,국민의힘
16,정세균,새천년민주당,더불어민주당
16,정우택,자유민주연합,자유민주연합
16,정의화,한나라당,국민의힘
16,정장선,새천년민주당,더불어민주당
16,정진석,자유민주연합,자유민주연합
16,정창화,한나라당,국민의힘
16,정철기,새천년민주당,더불어민주당
16,정형근,한나라당,국민의힘
16,조배숙,새천년민주당,더불어민주당
16,조부영,자유민주연합,자유민주연합
16,조성준,새천년민주당,더불어민주당
16,조순형,새천년민주당,더불어민주당
16,조웅규,한나라당,국민의힘
16,조재환,새천년민주당,더불어민주당
16,조정무,한나라당,국민의힘
16,조한천,새천년민주당,더불어민주당
16,조희욱,자유민주연합,자유민주연합
16,주진우,한나라당,국민의힘
16,천용택,새천년민주당,더불어민주당
16,천정배,새천년민주당,더불어민주당
16,최돈웅,한나라당,국민의힘
16,최명헌,새천년민주당,더불어민주당
16,최병국,한나라당,국민의힘
16,최병렬,한나라당,국민의힘
16,최선영,새천년민주당,더불어민주당
16,최연희,한나라당,국민의힘
16,최영희,새천년민주당,더불어민주당
16,최용규,열린우리당,더불어민주당
16,최재승,새천년민주당,더불어민주당
16,추미애,새천년민주당,더불어민주당
16,하순봉,한나라당,국민의힘
16,한명숙,새천년민주당,더불어민주당
16,한승수,민주국민당,민주국민당
16,한충수,새천년민주당,더불어민주당
16,한화갑,새천년민주당,더불어민주당
16,함석재,자민련,자민련
16,함승희,새천년민주당,더불어민주당
16,허운나,새천년민주당,더불어민주당
16,허태열,한나라당,국민의힘
16,현경대,한나라당,국민의힘
16,현승일,한나라당,국민의힘
16,홍문종,한나라당,국민의힘
16,홍사덕,한나라당,국민의힘
16,홍재형,새천년민주,새천년민주
16,홍준표,한나라당,국민의힘
16,황승민,한나라당,국민의힘
16,황우여,한나라당,국민의힘
16,황창주,새천년민주당,더불어민주당
17,강기갑,민주노동당,민주노동당
17,강기정,열린우리당,더불어민주당
17,강길부,열린우리당,더불어민주당
17,강봉균,열린우리당,더불어민주당
17,강성종,열린우리당,더불어민주당
17,강재섭,한나라당,국민의힘
17,강창일,열린우리당,더불어민주당
17,강혜숙,열린우리당,더불어민주당
17,고경화,한나라당,국민의힘
17,고조흥,한나라당,국민의힘
17,고진화,한나라당.무소속,한나라당.무소속
17,고흥길,한나라당,국민의힘
17,고희선,한나라당,국민의힘
17,공성진,한나라당,국민의힘
17,곽성문,"한나라당,자유선진당","한나라당,자유선진당"
17,구논회,열린우리당,더불어민주당
17,권경석,한나라당,국민의힘
17,권선택,열린우리당·국민중심당·자유선진당,열린우리당·국민중심당·자유선진당
17,권영길,민주노동당,민주노동당
17,권영세,한나라당,국민의힘
17,권오을,한나라당,국민의힘
17,권철현,한나라당,국민의힘
17,김광원,한나라당,국민의힘
17,김교흥,열린우리당,더불어민주당
17,김근태,통합민주당,통합민주당
17,김기춘,한나라당,국민의힘
17,김기현,한나라당,국민의힘
17,김낙성,자민련·국민중심당,자민련·국민중심당
17,김낙순,통합민주당,통합민주당
17,김덕규,열린우리당,더불어민주당
17,김덕룡,한나라당,국민의힘
17,김동철,열린우리당,더불어민주당
17,김명자,열린우리당,더불어민주당
17,김명주,한나라당,국민의힘
17,김무성,한나라당,국민의힘
17,김문수,한나라당,국민의힘
17,김병호,한나라당`,한나라당`
17,김부겸,열린우리당,더불어민주당
17,김석준,한나라당,국민의힘
17,김선미,통합민주당,통합민주당
17,김성곤,열린우리당,더불어민주당
17,김성조,한나라당,국민의힘
17,김송자,민주당,민주당
17,김애실,한나라당,국민의힘
17,김양수,한나라당,국민의힘
17,김영대,대통합민주신당,대통합민주신당
17,김영덕,한나라당,국민의힘
17,김영선,한나라당,국민의힘
17,김영숙,한나라당,국민의힘
17,김영주,통합민주당,통합민주당
17,김영춘,열린우리당,더불어민주당
17,김용갑,한나라당,국민의힘
17,김우남,열린우리당,더불어민주당
17,김원기,열린우리당,더불어민주당
17,김원웅,통합민주당,통합민주당
17,김재경,한나라당,국민의힘
17,김재원,한나라당,국민의힘
17,김재윤,열린우리당,더불어민주당
17,김재홍,통합민주당,통합민주당
17,김정권,한나라당,국민의힘
17,김정부,한나라당,국민의힘
17,김정훈,한나라당,국민의힘
17,김종률,열린우리당,더불어민주당
17,김종인,통합민주당,통합민주당
17,김진표,열린우리당,더불어민주당
17,김춘진,열린우리당,더불어민주당
17,김충환,한나라당,국민의힘
17,김태년,통합민주당,통합민주당
17,김태홍,열린우리당,더불어민주당
17,김태환,한나라당·무소속,한나라당·무소속
17,김학송,한나라당,국민의힘
17,김학원,한나라당,국민의힘
17,김한길,통합민주당,통합민주당
17,김혁규,열린우리당,더불어민주당
17,김현미,통합민주당,통합민주당
17,김형오,한나라당,국민의힘
17,김형주,통합민주당,통합민주당
17,김홍업,통합민주당,통합민주당
17,김홍일,새천년민주당,더불어민주당
17,김효석,통합민주당,통합민주당
17,김희선,통합민주당,통합민주당
17,김희정,한나라당,국민의힘
17,나경원,한나라당,국민의힘
17,남경필,한나라당,국민의힘
17,노영민,열린우리당·대통합민주신당·통합민주당,열린우리당·대통합민주신당·통합민주당
17,노웅래,통합민주당,통합민주당
17,노현송,통합민주당,통합민주당
17,노회찬,"민주노동당,진보신당","민주노동당,진보신당"
17,단병호,민주노동당,민주노동당
17,류근찬,자민련,자민련
17,류시민,통합민주당,통합민주당
17,맹형규,한나라당,국민의힘
17,문병호,통합민주당,통합민주당
17,문석호,통합민주당,통합민주당
17,문학진,열린우리당,더불어민주당
17,문희,한나라당,국민의힘
17,문희상,열린우리당,더불어민주당
17,민병두,통합민주당,통합민주당
17,박계동,한나라당,국민의힘
17,박근혜,한나라당,국민의힘
17,박기춘,열린우리당,더불어민주당
17,박명광,통합민주당,통합민주당
17,박병석,열린우리당,더불어민주당
17,박상돈,자유선진당,자유선진당
17,박성범,한나라당,국민의힘
17,박세일,한나라당,국민의힘
17,박세환,한나라당,국민의힘
17,박순자,한나라당,국민의힘
17,박승환,한나라당,국민의힘
17,박영선,열린우리당,더불어민주당
17,박재완,한나라당,국민의힘
17,박종근,한나라당,국민의힘
17,박진,한나라당,국민의힘
17,박찬석,대통합민주신당,대통합민주신당
17,박찬숙,한나라당,국민의힘
17,박형준,한나라당,국민의힘
17,박홍수,열린우리당,더불어민주당
17,박희태,한나라당,국민의힘
17,배기선,통합민주당,통합민주당
17,배일도,한나라당,국민의힘
17,백원우,열린우리당,더불어민주당
17,변재일,열린우리당,더불어민주당
17,복기왕,열린우리당,더불어민주당
17,서갑원,열린우리당,더불어민주당
17,서병수,한나라당,국민의힘
17,서상기,한나라당,국민의힘
17,서재관,통합민주신당,통합민주신당
17,서혜석,통합민주당,통합민주당
17,선병렬,통합민주당,통합민주당
17,손봉숙,통합민주당,통합민주당
17,송영길,열린우리당,더불어민주당
17,송영선,한나라당,국민의힘
17,신계륜,통합민주당,통합민주당
17,신국환,민주당,민주당
17,신기남,열린우리당,더불어민주당
17,신명,통합민주당,통합민주당
17,신상진,한나라당,국민의힘
17,신중식,통합민주당,통합민주당
17,신학용,열린우리당,더불어민주당
17,심대평,국민중심당·자유선진당,국민중심당·자유선진당
17,심상정,민주노동당,민주노동당
17,심재덕,통합민주당,통합민주당
17,심재엽,한나라당,국민의힘
17,심재철,한나라당,국민의힘
17,안경률,한나라당,국민의힘
17,안명옥,한나라당,국민의힘
17,안민석,열린우리당,더불어민주당
17,안병엽,열린우리당,더불어민주당
17,안상수,한나라당,국민의힘
17,안영근,통합민주당,통합민주당
17,안택수,한나라당,국민의힘
17,안홍준,한나라당,국민의힘
17,양승조,열린우리당,더불어민주당
17,양형일,통합민주당,통합민주당
17,엄호성,한나라당,국민의힘
17,염동연,통합민주당,통합민주당
17,오영식,통합민주당,통합민주당
17,오제세,열린우리당,더불어민주당
17,우상호,통합민주신당,통합민주신당
17,우원식,통합민주당,통합민주당
17,우윤근,열린우리당,더불어민주당
17,우제창,열린우리당,더불어민주당
17,우제항,통합민주당,통합민주당
17,원혜영,열린우리당,더불어민주당
17,원희룡,한나라당,국민의힘
17,유기준,한나라당,국민의힘
17,유기홍,열린우리당,더불어민주당
17,유선호,열린우리당,더불어민주당
17,유승민,한나라당,국민의힘
17,유승희,통합민주당,통합민주당
17,유인태,통합민주당,통합민주당
17,유재건,"통합민주신당,자유선진당","통합민주신당,자유선진당"
17,유정복,한나라당,국민의힘
17,유필우,통합민주당,통합민주당
17,윤건영,한나라당,국민의힘
17,윤원호,대통합민주신당,대통합민주신당
17,윤호중,통합민주당,통합민주당
17,이강두,한나라당,국민의힘
17,이강래,열린우리당,더불어민주당
17,이경숙,대통합민주신당,대통합민주신당
17,이경재,한나라당,국민의힘
17,이계경,한나라당,국민의힘
17,이계안,통합민주당,통합민주당
17,이계진,한나라당,국민의힘
17,이광재,열린우리당,더불어민주당
17,이광철,통합민주당,통합민주당
17,이군현,한나라당,국민의힘
17,이규택,한나라당,국민의힘
17,이근식,무소속,무소속
17,이기우,통합민주당,통합민주당
17,이낙연,열린우리당,더불어민주당
17,이명규,한나라당,국민의힘
17,이목희,열린우리당,더불어민주당
17,이미경,열린우리당,더불어민주당
17,이방호,한나라당,국민의힘
17,이병석,한나라당,국민의힘
17,이상경,통합민주당,통합민주당
17,이상득,한나라당,국민의힘
17,이상민,열린우리당,더불어민주당
17,이상배,한나라당,국민의힘
17,이상열,민주당,민주당
17,이석현,열린우리당,더불어민주당
17,이성구,한나라당,국민의힘
17,이성권,한나라당,국민의힘
17,이승희,민주당,민주당
17,이시종,열린우리당,더불어민주당
17,이영순,민주노동당,민주노동당
17,이영호,통합민주당,통합민주당
17,이용희,열린우리당,더불어민주당
17,이원복,한나라당,국민의힘
17,이원영,대통합민주신당,대통합민주신당
17,이윤성,한나라당,국민의힘
17,이은영,통합민주당,통합민주당
17,이인기,한나라당,국민의힘
17,이인영,대통합민주신당,대통합민주신당
17,이인제,민주당,민주당
17,이재오,한나라당,국민의힘
17,이재웅,한나라당,국민의힘
17,이재창,한나라당,국민의힘
17,이정일,새천년민주당,더불어민주당
17,이종걸,열린우리당,더불어민주당
17,이종구,한나라당,국민의힘
17,이주영,한나라당,국민의힘
17,이주호,한나라당,국민의힘
17,이진구,한나라당,국민의힘
17,이한구,한나라당,국민의힘
17,이해봉,한나라당,국민의힘
17,이해찬,대통합민주신당,대통합민주신당
17,이혜훈,한나라당,국민의힘
17,이호웅,열린우리당,더불어민주당
17,이화영,대통합민주신당,대통합민주신당
17,임인배,한나라당,국민의힘
17,임종석,통합민주당,통합민주당
17,임종인,"열린우리당,무소속","열린우리당,무소속"
17,임채정,열린우리당,더불어민주당
17,임태희,한나라당,국민의힘
17,임해규,한나라당,국민의힘
17,장경수,통합민주당,통합민주당
17,장복심,열린우리당,더불어민주당
17,장영달,통합민주당,통합민주당
17,장윤석,한나라당,국민의힘
17,장향숙,통합민주당,통합민주당
17,전병헌,열린우리당,더불어민주당
17,전여옥,한나라당,국민의힘
17,전재희,한나라당,국민의힘
17,정갑윤,한나라당,국민의힘
17,정덕구,통합민주당,통합민주당
17,정동채,통합민주당,통합민주당
17,정두언,한나라당,국민의힘
17,정몽준,국민통합21·무소속·한나라당,국민통합21·무소속·한나라당
17,정문헌,한나라당,국민의힘
17,정병국,한나라당,국민의힘
17,정봉주,통합민주당,통합민주당
17,정성호,통합민주당,통합민주당
17,정세균,열린우리당,더불어민주당
17,정의용,통합민주당,통합민주당
17,정의화,한나라당,국민의힘
17,정장선,열린우리당,더불어민주당
17,정종복,한나라당,국민의힘
17,정진석,한나라당,국민의힘
17,정진섭,한나라당,국민의힘
17,정청래,통합민주당,통합민주당
17,정형근,한나라당,국민의힘
17,정화원,한나라당,국민의힘
17,정희수,한나라당,국민의힘
17,제종길,통합민주당,통합민주당
17,조경태,열린우리당,더불어민주당
17,조배숙,열린우리당,더불어민주당
17,조성래,통합민주신당,통합민주신당
17,조성태,열린우리당,더불어민주당
17,조순형,새천년민주당,더불어민주당
17,조일현,통합민주신당,통합민주신당
17,조정식,열린우리당,더불어민주당
17,주성영,한나라당,국민의힘
17,주승용,열린우리당,더불어민주당
17,주호영,한나라당,국민의힘
17,지병문,통합민주당,통합민주당
17,진수희,한나라당,국민의힘
17,진영,한나라당,국민의힘
17,차명진,한나라당,국민의힘
17,채수찬,통합민주당,통합민주당
17,채일병,통합민주당,통합민주당
17,천영세,민주노동당,민주노동당
17,천정배,열린우리당,더불어민주당
17,최경환,한나라당,국민의힘
17,최구식,한나라당,국민의힘
17,최규성,열린우리당,더불어민주당
17,최규식,열린우리당,더불어민주당
17,최병국,한나라당,국민의힘
17,최성,통합민주당,통합민주당
17,최순영,민주노동당,민주노동당
17,최연희,한나라당·무소속,한나라당·무소속
17,최용규,중도개혁통합신당,중도개혁통합신당
17,최인기,열린우리당,더불어민주당
17,최재성,열린우리당,더불어민주당
17,최재천,통합민주신당,통합민주신당
17,최철국,열린우리당ㆍ통합민주당,열린우리당ㆍ통합민주당
17,한광원,통합민주당),통합민주당)
17,한명숙,통합민주당,통합민주당
17,한병도,민주노동당,민주노동당
17,한선교,한나라당·무소속,한나라당·무소속
17,한화갑,통합민주신당,통합민주신당
17,허천,한나라당,국민의힘
17,허태열,한나라당,국민의힘
17,현경병,,
17,현애자,민주노동당,민주노동당
17,홍문표,한나라당,국민의힘
17,홍미영,열린우리당,더불어민주당
17,홍재형,통합민주당,통합민주당
17,홍준표,한나라당,국민의힘
17,홍창선,통합민주당,통합민주당
17,황우여,한나라당,국민의힘
17,황진하,한나라당,국민의힘
18,강기갑,민주노동당,민주노동당
18,강기정,민주당,민주당
18,강길부,한나라당,국민의힘
18,강명순,한나라당,국민의힘
18,강봉균,민주당,민주당
18,강석호,한나라당,국민의힘
18,강성종,민주당,민주당
18,강성천,한나라당,국민의힘
18,강승규,한나라당,국민의힘
18,강용석,한나라당·무소속,한나라당·무소속
18,강운태,무소속.민주당,무소속.민주당
18,강창일,민주당,민주당
18,고승덕,한나라당,국민의힘
18,고흥길,한나라당,국민의힘
18,공성진,한나라당,국민의힘
18,곽정숙,민주노동당,민주노동당
18,구상찬,한나라당,국민의힘
18,권경석,한나라당,국민의힘
18,권선택,자유선진당,자유선진당
18,권성동,한나라당,국민의힘
18,권영길,민주노동당,민주노동당
18,권영세,한나라당,국민의힘
18,권영진,한나라당,국민의힘
18,권택기,한나라당,국민의힘
18,김광림,무소속,무소속
18,김금래,한나라당,국민의힘
18,김기현,한나라당,국민의힘
18,김낙성,자유선진당,자유선진당
18,김동성,한나라당,국민의힘
18,김동철,통합민주당,통합민주당
18,김무성,무소속·한나라당,무소속·한나라당
18,김부겸,민주당,민주당
18,김상희,민주당,민주당
18,김선동,한나라당,국민의힘
18,김선동,민주노동당,민주노동당
18,김성곤,민주당,민주당
18,김성동,한나라당,국민의힘
18,김성수,한나라당,국민의힘
18,김성순,민주당,민주당
18,김성식,한나라당,국민의힘
18,김성조,한나라당,국민의힘
18,김성태,한나라당,국민의힘
18,김성회,한나라당,국민의힘
18,김세연,무소속·한나라당,무소속·한나라당
18,김소남,한나라당,국민의힘
18,김영록,무소속·민주당,무소속·민주당
18,김영선,한나라당,국민의힘
18,김영우,한나라당,국민의힘
18,김영진,민주당,민주당
18,김영환,민주당,민주당
18,김옥이,한나라당,국민의힘
18,김용구,자유선진당,자유선진당
18,김용태,한나라당,국민의힘
18,김우남,민주당,민주당
18,김유정,민주당,민주당
18,김을동,친박연대·미래희망연대·한나라당,친박연대·미래희망연대·한나라당
18,김일윤,친박연대,친박연대
18,김장수,한나라당,국민의힘
18,김재경,한나라당,국민의힘
18,김재균,민주당,민주당
18,김재윤,민주당,민주당
18,김정,친박연대·미래희망연대·한나라당,친박연대·미래희망연대·한나라당
18,김정권,한나라당,국민의힘
18,김정훈,한나라당,국민의힘
18,김종률,통합민주당,통합민주당
18,김진애,민주당,민주당
18,김진표,민주당,민주당
18,김창수,자유선진당,자유선진당
18,김춘진,민주당,민주당
18,김충조,민주당,민주당
18,김충환,한나라당,국민의힘
18,김태원,한나라당,국민의힘
18,김태호,한나라당,국민의힘
18,김태환,무소속·한나라당,무소속·한나라당
18,김학송,한나라당,국민의힘
18,김학용,한나라당,국민의힘
18,김학재,민주당,민주당
18,김형오,한나라당·무소속·한나라당,한나라당·무소속·한나라당
18,김혜성,친박연대·미래희망연대·한나라당,친박연대·미래희망연대·한나라당
18,김호연,한나라당,국민의힘
18,김효석,전남 담양·곡성·구례) 민주당,전남담양·곡성·구례)민주당
18,김효재,한나라당,국민의힘
18,김희철,민주당,민주당
18,나경원,한나라당,국민의힘
18,나성린,한나라당,국민의힘
18,남경필,한나라당,국민의힘
18,노영민,통합민주당·민주당,통합민주당·민주당
18,노철래,친박연대·미래희망연대·한나라당,친박연대·미래희망연대·한나라당
18,류근찬,자유선진당,자유선진당
18,문학진,민주당,민주당
18,문희상,민주당,민주당
18,박근혜,한나라당,국민의힘
18,박기춘,민주당,민주당
18,박대해,친박연대·한나라당,친박연대·한나라당
18,박민식,한나라당,국민의힘
18,박병석,민주당,민주당
18,박보환,한나라당,국민의힘
18,박상돈,자유선진당,자유선진당
18,박상은,한나라당,국민의힘
18,박상천,민주당,민주당
18,박선숙,통합민주당·민주당,통합민주당·민주당
18,박선영,자유선진당,자유선진당
18,박순자,한나라당,국민의힘
18,박영선,민주당,민주당
18,박영아,한나라당,국민의힘
18,박우순,"재보선,민주당","재보선,민주당"
18,박은수,민주당,민주당
18,박종근,친박연대·한나라당,친박연대·한나라당
18,박종희,한나라당,국민의힘
18,박주선,민주당,민주당
18,박준선,한나라당,국민의힘
18,박지원,민주당,민주당
18,박진,한나라당,국민의힘
18,박희태,한나라당,국민의힘
18,배영식,한나라당,국민의힘
18,배은희,한나라당,국민의힘
18,백성운,한나라당,국민의힘
18,백원우,민주당,민주당
18,백재현,민주당,민주당
18,변웅전,자유선진당,자유선진당
18,변재일,민주당,민주당
18,서갑원,민주당,민주당
18,서병수,한나라당,국민의힘
18,서상기,한나라당,국민의힘
18,서종표,민주당,민주당
18,선경식,창조한국당,창조한국당
18,성윤환,무소속·한나라당,무소속·한나라당
18,손범규,한나라당,국민의힘
18,손숙미,한나라당,국민의힘
18,손학규,민주당,민주당
18,송광호,한나라당,국민의힘
18,송민순,민주당,민주당
18,송영길,민주당,민주당
